destination,shipCount,lat,lon
TRINCOMALEE,5,8.571,81.233
TROIS RIVIERES,2,46.35,-72.549
TROIS-RIVIERES,1,46.35,-72.549
TUAPSE,6,44.1,39.074
TUBAN,2,-6.9,112.05
TUBARAO,61,-28.466,-49.006
TURKMENBASHI,6,40.023,52.969
TUY HOA,3,13.083,109.3
TUZLA,6,44.542,18.669
TWO HARBORS,6,47.0257,-91.6663
TYNEMOUTH,1,55.0181,-1.4262
ULSAN,15,35.537,129.316
UMEA,1,63.828,20.259
UNYE,1,41.131,37.282
VANINO,11,49.086,140.254
VASTERAS,1,59.616,16.552
VASTO,1,42.1047,14.706
VENEZUELA,1,21.735,-78.796
VENTSPILS,3,57.389,21.56
VIGO,1,42.2213,-8.7333
VILA DO CONDE,13,41.3536,-8.741
VILLAGARCIA,1,22.1617,-101.9556
VISAKHAPATNAM,5,17.7,83.3
VISHAKHAPATNAM,11,17.7,83.3
VLADIVOSTOK,3,43.105,131.873
VOLOS,5,39.366,22.945
VUNG TAU,6,10.35,107.066
VUNGTAU,4,10.35,107.066
WALVIS BAY,7,-22.957,14.505
WARRI,1,5.516,5.75
WEI FANG,1,36.71,119.101
WEIHAI,1,37.501,122.113
WEN ZHOU,2,27.999,120.666
